epoch,epsilon,time,reward
452,0.32805000000000006,1701683156.1399333,-51.04165694055396
453,0.32805000000000006,1701683156.9130642,-51.03732181761592
454,0.32805000000000006,1701683157.6259804,-50.99831777155309
455,0.32805000000000006,1701683158.38656,-51.069559990662924
456,0.32805000000000006,1701683159.172448,-52.02462729536258
457,0.32805000000000006,1701683160.0708737,-51.020334189231214
458,0.32805000000000006,1701683160.8667114,-51.71995603797071
459,0.32805000000000006,1701683161.595225,-50.869108699035145
460,0.32805000000000006,1701683162.4985673,-52.09960784313727
461,0.32805000000000006,1701683163.2934253,-52.66685807656397
462,0.32805000000000006,1701683164.1231706,-55.798242296918794
463,0.32805000000000006,1701683164.939979,-50.40034119203236
464,0.32805000000000006,1701683165.7672913,-52.9056337535014
465,0.32805000000000006,1701683166.5436032,-51.09470860566448
466,0.32805000000000006,1701683167.3236048,-53.04384181450358
467,0.32805000000000006,1701683168.1145005,-52.0567545907252
468,0.32805000000000006,1701683169.0708869,-53.1642514783691
469,0.32805000000000006,1701683169.89211,-51.83644024276378
470,0.32805000000000006,1701683170.6133766,-52.499502801120386
471,0.32805000000000006,1701683171.3127837,-50.49228797074383
472,0.32805000000000006,1701683172.0036798,-50.63352396514163
473,0.32805000000000006,1701683172.690233,-51.057139744786824
474,0.32805000000000006,1701683173.3681178,-50.473133364456864
475,0.32805000000000006,1701683174.1178815,-51.513942187986366
476,0.32805000000000006,1701683174.7940392,-50.20395736072209
477,0.32805000000000006,1701683175.5700274,-50.92104614067848
478,0.32805000000000006,1701683176.3676288,-51.310129551820786
479,0.32805000000000006,1701683177.102069,-50.54863367569252
480,0.32805000000000006,1701683177.7879345,-50.67205999066299
481,0.32805000000000006,1701683178.5044339,-55.97668339558045
482,0.32805000000000006,1701683179.1917758,-51.16346366324307
483,0.32805000000000006,1701683179.8806522,-51.543744942421384
484,0.32805000000000006,1701683180.6210368,-50.57823957360721
485,0.32805000000000006,1701683181.3384817,-49.87828625894804
486,0.32805000000000006,1701683182.0171525,-51.81382741985688
487,0.32805000000000006,1701683182.7344198,-51.862890989729244
488,0.32805000000000006,1701683184.2687929,-51.79339947089945
489,0.32805000000000006,1701683185.4206808,-52.33203470276996
490,0.32805000000000006,1701683186.401188,-53.890068471833125
491,0.32805000000000006,1701683187.1289814,-49.85907135076251
492,0.32805000000000006,1701683187.9325542,-52.280844615624034
493,0.32805000000000006,1701683188.6408927,-50.93674214130101
494,0.32805000000000006,1701683189.327907,-51.8797685185185
495,0.32805000000000006,1701683190.0284655,-53.7056232492997
496,0.32805000000000006,1701683190.712331,-51.49501711795829
497,0.32805000000000006,1701683191.3906696,-55.24867413632123
498,0.32805000000000006,1701683192.0871854,-51.443322829131645
499,0.2952450000000001,1701683192.7617595,-49.848120915032716
500,0.2952450000000001,1701683193.6517355,-53.60080026455021
501,0.2952450000000001,1701683194.6326108,-51.36069172113287
502,0.2952450000000001,1701683195.3404782,-53.36196389666974
503,0.2952450000000001,1701683196.0549605,-54.2238686585746
504,0.2952450000000001,1701683196.7597365,-53.034030501089326
505,0.2952450000000001,1701683197.4596748,-52.25876984126978
506,0.2952450000000001,1701683198.2301123,-51.78107765328354
507,0.2952450000000001,1701683198.9118006,-52.76526688453159
508,0.2952450000000001,1701683199.6121883,-51.71232570806096
509,0.2952450000000001,1701683200.2880402,-53.12304777466542
510,0.2952450000000001,1701683200.9892519,-51.085323295985035
511,0.2952450000000001,1701683201.8783593,-51.785249766573294
512,0.2952450000000001,1701683202.5818596,-51.92872393401809
513,0.2952450000000001,1701683203.3003817,-50.94186624649862
